交易名称,企业名称,所属集团,电源类型,装机容量MW
者磨山,水电十四局大理聚能投资有限公司,中国电建集团,风电,45.75
磨豆山,中广核玉溪华宁风力发电有限公司,中广核,风电,48
莲花山,华电(云南)新能源发电有限公司个旧分公司,华电集团,风电,42
马厂,华能大理风力发电有限公司鹤庆分公司,华能集团,风电,49.5
牦牛坪,华电(云南)新能源发电有限公司丽江分公司,华电集团,风电,99
罗平山,大唐洱源风电有限责任公司,大唐集团,风电,48.75
对门梁子,马龙云能投新能源开发有限公司,云南能源投资,风电,90
仙人洞,云南滇能智慧能源有限公司,国家电力投资集团,风电,46.5
百花山,云南湘电众佳新能源有限公司,湘电集团,风电,48
老青山,云南滇能智慧能源有限公司,国家电力投资集团,风电,49.5
尼白木克,红河石屏盛唐新能源有限公司,大唐集团,风电,49.5
仓房,会泽协合风力发电有限公司,三峡集团,风电,48
大绿山,中广核曲靖宣威风力发电有限公司,中广核,风电,48
株木山,云南龙源新能源有限公司,国家能源投资集团,风电,150
彝山,中广核楚雄牟定风力发电有限公司,中广核,风电,152.5
洗羊塘,巧家天巧风电有限公司,其他,风电,49.5
白泥井,会泽协合风力发电有限公司,三峡集团,风电,32
陡坡梁子,马龙协合风力发电有限公司,三峡集团,风电,47.5
老寨风电场,蒙自中能新能源有限公司,其他,风电,220
高美风电场,龙源丽江新能源有限公司,国家能源投资集团,风电,49.5
红石岩（朗目山二期）,大唐曲靖新能源有限公司,大唐集团,风电,49.5
老庄科风电场,中电投丘北京泰新能源有限公司,国家电力投资集团,风电,48
锁奔多风电场,大唐昆明市西山新能源有限公司,大唐集团,风电,48
洒谷,国能龙源罗平新能源有限公司,国家能源投资集团,风电,49.5
黑巴风电场,云南华电大黑山风力发电有限公司黑巴分公司,华电集团,风电,38
大黑山（含二期）,云南华电大黑山风力发电有限公司,华电集团,风电,96
文笔山（含三期）,华能云南富源风电有限责任公司,华能集团,风电,136
五台山（含三期）,云南丰晟电力有限公司,国家电力投资集团,风电,136
将军山（含二期）,云南华宁火特新能源开发有限公司,中国电建集团,风电,88
石洞山（含三期）,云南弥勒石洞山发电有限公司,三峡集团,风电,145.5
德著龙（含三期）,昆明中云电新能源有限责任公司,国家电力投资集团,风电,144
程子山（含二期）,三峡新能源云南师宗发电有限公司,三峡集团,风电,82
保顶山（含四期）,中国水电顾问集团姚安新能源开发有限公司,中国电建集团,风电,186
巨龙山（含四期）,水电十四局大理聚能投资有限公司,中国电建集团,风电,198
青龙、禄脿,华电(云南)新能源发电有限公司安宁分公司,华电集团,风电,166
茅稗田（含二期）,中广核楚雄大姚风力发电有限公司,中广核,风电,90
板桥（含二期）,国能云南新能源有限公司,国家能源投资集团,风电,99
骑龙山（含三期）,大唐洱源凤羽风电有限责任公司,大唐集团,风电,147
七棵树、多依树,建水新天风能有限公司,其他,风电,193.6
红土坡、五街,云南滇能智慧能源有限公司,国家电力投资集团,风电,300
马鞍山（含五期）,华能大理风力发电有限公司洱源分公司,华能集团,风电,228
羊岔街（南、北）,中广核玉溪元江风力发电有限公司,中广核,风电,164
大龙口（含三期）,三峡新能源云南姚安发电有限公司,三峡集团,风电,145
大赖石山（含五期）,国能巧家新能源有限公司,国家能源投资集团,风电,223.5
羊雄山（含二期）,大唐丘北风电有限责任公司,大唐集团,风电,99
大海梁子（含二期）,会泽云能投新能源开发有限公司,云南能源投资,风电,96
朗山（含二期）,国电电力云南新能源开发有限公司,国家能源投资集团,风电,90
马塘（含三期）,云南龙源新能源有限公司,国家能源投资集团,风电,141
雪邦山（含二期）,龙源大理风力发电有限公司,国家能源投资集团,风电,99
杨梅山（含二期）,云南龙源新能源有限公司,国家能源投资集团,风电,99
五子坡（含三期）,华能大理风力发电有限公司,华能集团,风电,148.5
昆明联合（含二期）,昆明中云电新能源有限责任公司,国家电力投资集团,风电,99
永三（含二期）,泸西县云能投风电开发有限公司,云南能源投资,风电,96
阿普、三台坡,云南滇能智慧能源有限公司,国家电力投资集团,风电,286
李子箐（含五期）,中国水电顾问集团风电泸西有限公司,中国电建集团,风电,219
支锅山（含二期）,龙源石林新能源有限公司,国家能源投资集团,风电,99
大风丫口（含二期）,云南国电电力富民风电开发有限公司,国家能源投资集团,风电,73.5
百山（含三期）,龙源大理风力发电有限公司,国家能源投资集团,风电,132
雷应山（含二期）,国能云南新能源有限公司,国家能源投资集团,风电,99
凤屯（含二期）,中广核楚雄牟定风力发电有限公司,中广核,风电,99
石蒲塘（含二期）,华能大理风力发电有限公司洱源分公司,华能集团,风电,99
左美果（含三期）,云南华电大黑山风力发电有限公司,华电集团,风电,135.5
大龙山（含三期）,大唐丘北风电有限责任公司,大唐集团,风电,144
大牛（含二期）,云南湘电中诺新能源有限公司,湘电集团,风电,96
向阳山,大唐玉溪新能源有限公司,大唐集团,风电,49.5
光梁子,华能云南富源风电有限责任公司,华能集团,风电,48
风摆山,国电电力云南新能源开发有限公司昆明分公司,国家能源投资集团,风电,30
