电场名称,省,市,区,装机容量(MW),所属企业,所属集团
阿柱田光伏（阿柱田、爱华、石门坎）,,,,425.0,华能澜沧江(云县)新能源有限公司,
阿里郎光伏（新寨、鸡街、石竹坡）,,,,275.76,华能澜沧江（漾濞）新能源有限公司,
阿里郎光伏（青云）,,,,50.0,华能澜沧江（巍山）新能源有限公司,
陆家垭口光伏,,,,190.0,华电南华新能源开发有限公司,
雄里坡光伏,,,,100.0,华能新能源（祥云）有限公司,
青岩山,,,,10.0,兰坪太科光伏电力有限公司,中航科技
青香树光伏,,,,230.0,双柏徽阳新能源科技有限公司,
项丘光伏电站（东山、芒牛坝）,,,,97.7,云华芒市新能源有限公司,
项丘光伏（崩张孔、大舍一期）,,,,206.0,芒市天辉新能源有限公司,
香竹林农业光伏电站,,,,159.375,耿马汇能新能源有限公司,
香竹林扶贫光伏,,,,20.0,耿马环兴新能源有限公司,
马头地光伏,,,,170.0,华能新能源（元谋）有限公司,
马头村光伏,,,,230.0,易门龙源新能源有限公司,
马路坡光伏,,,,192.85,寻甸华电新能源开发有限公司,
驻马哨,,,,76.0,开远中能新能源有限公司,其他
鲁家箐光伏,,,,80.0,禄丰市浩裕光伏发电有限公司,
鲁瓦光伏,,,,9450.0,华电（玉龙）新能源开发有限公司,
鲁纳光伏（鲁纳、多姑、马家村）,,,,210.0,华能澜沧江（寻甸）新能源有限公司,
麦子地光伏,,,,25.6,华能新能源（禄丰）有限公司,
麻栗树光伏,,,,60.0,宏桥建水新能源有限公司,
麻舍所,,,,30.0,陆良汇昆天合太阳能电力开发有限公司,国家电力投资集团
黄家林光伏,,,,284.0,鲁甸广能新能源有限公司,
黑岩洼光伏,,,,100.0,保山市隆阳中能建投新能源有限公司,
黑暮光伏,,,,65.0,宏桥建水新能源有限公司,
龙华光伏电站（长坪子）,,,,60.0,三峡云能发电（禄劝）有限公司,
龙华光伏（赤鹫、罗免）,,,,200.0,三峡云能发电（富民）有限公司,
龙口光伏,,,,150.0,宾川中碳清洁能源有限公司,
龙潭山,,,,19.8,永胜惠光光伏发电有限公司,骏耀新能源
