电场名称,省,市,区,装机容量(MW),所属企业,所属集团
他格莫,,,,50.0,峨山永鑫光伏发电有限公司,协鑫新能源
伍寨光伏,,,,80.0,大唐永善风电有限责任公司,
佑雅光伏,,,,50.0,华能新能源（泸水）有限公司,
何元光伏（施甸中光伏）,,,,100.0,施甸华电新能源开发有限公司,
倮练光伏,,,,45.0,华能澜沧江(普洱)新能源有限公司,
允山光伏（含哈尼）,,,,130.0,华能澜沧江(普洱)新能源有限公司,
光华光伏（芮官山一期、二期、西山）,,,,180.0,三峡新能源永胜县有限公司,
公种田光伏,,,,53.0,云南电建新能源开发有限公司,
公种田光伏（二期）,,,,50.0,中电建（新平）新能源有限公司,
关旗营光伏,,,,300.0,信云光能（曲靖）有限公司,
典文光伏,,,,50.0,三峡云能发电（禄劝）有限公司,
冲子光伏（老寨）,,,,288.0,宏桥开远新能源有限公司,
冷米光伏,,,,300.0,三峡云能发电（永善）有限公司,
凤代光伏（清水朗山）,,,,200.0,云南云龙国电电力新能源有限公司,
分水岭光伏,,,,70.0,三峡云能发电（宁蒗）有限公司,
刘家庄,,,,10.0,曲靖市沾益区阿特斯光伏发电有限公司,其他
前进光伏,,,,14.08,国能七都建发文山清洁能源有限公司,
勐乃光伏,,,,99.84,华能澜沧江(普洱)新能源有限公司,
勐佑光伏,,,,190.0,大唐临沧新能源有限公司,
北大村,,,,60.0,石林中云电新能源有限责任公司,国家电力投资集团
北泽,,,,40.0,元江中盛太阳能科技有限公司,中广核
十字路光伏,,,,63.0,南能永德能源开发有限公司,
升发光伏（撒永山光伏）,,,,250.0,华电禄劝新能源开发有限公司,
半坡箐光伏（半坡箐、半坡、鱼塘寨）,,,,95.0,华能澜沧江(普洱)新能源有限公司,
华润南羊光伏（张官营、龙洞）,,,,65.0,华润新能源(宜良)有限公司,
华润芋头得光伏,,,,60.0,华润新能源（石林）有限公司,
华能石林&#40;一期&#41;,,,,10.0,华能石林光伏发电有限公司,华能集团
华能石林（二期）,,,,90.0,华能石林光伏发电有限公司,华能集团
华阳光伏（向阳）,,,,50.0,中广核玉溪华宁风力发电有限公司,
南头山,,,,10.0,曲靖英利光伏电力开发有限公司,其他
南头山二期,,,,100.0,信云光能（曲靖）有限公司,
南屏西光伏,,,,60.0,普洱市思茅中电新能源有限公司,
南庄,,,,300.0,国投新能源（红河）股份有限公司,国投电力
南弄光伏,,,,110.0,华能澜沧江(勐海)新能源有限公司,
博厚光伏,,,,45.0,大姚云能投绿色能源开发有限公司,
博禾光伏,,,,100.0,大理博禾新能源有限公司,
双柏石头光伏,,,,106.0,双柏汇科新能源有限公司,
双河村光伏,,,,40.0,中电建（新平）新能源有限公司,
双羊洞光伏,,,,210.0,大唐(丘北)新能源有限公司,
古木,,,,30.0,文山太科光伏电力有限公司,中航科技
吉姆阿以光伏,,,,139.0,三峡云能发电（宁蒗）有限公司,
吉龙光伏（大嘎吉、么龙村、三七园）,,,,400.0,中广核新能源（马关）有限公司,
向阳村光伏,,,,40.0,中广核楚雄大姚风力发电有限公司,
周家寨光伏,,,,200.0,耿马华电新能源开发有限公司,
哨上光伏,,,,150.0,国电投绿电能源（玉溪）有限公司,
唐丫口光伏（麒麟厂）,,,,232.0,会泽华电道成清洁能源开发有限公司,
嘎胡光伏,,,,50.0,国能普洱新能源有限公司,
四排山光伏,,,,100.0,耿马鼎泰新能源有限公司,
四角山,,,,60.0,中国能源建设集团永胜新能源有限公司,中能建集团
团山光伏电站（小湾农牧光伏）,,,,40.0,华能澜沧江(临沧)新能源有限公司,
团树,,,,30.0,丘北太科光伏电力有限公司,中航科技
