省,市,区,电场名称,电场类型,装机容量MW,企业,所属集团
云南省,迪庆藏族自治州,香格里拉市,第1标段:迪庆州香格里拉市其宰光伏发电项目,光伏,200,国家电投集团云南国际电力投资有限公司,国家电投
云南省,迪庆藏族自治州,德钦县,第2标段:迪庆州德钦县巴丁光优发电项目,光伏,200,华能澜沧江水电股份有限公司,华能
云南省,昭通市,巧家县,谓姑光伏发电项目,光伏,100,新疆臻元新能源有限责任公司,国家电投
云南省,昭通市,昭阳区,北闸光伏发电项目,光伏,100,中国电建集团福建省电力勘测设计院有限公司,中国电建
云南省,昭通市,巧家县,羊棚子光伏发电项目,光伏,75,新疆臻元新能源有限责任公司,国家电投
云南省,昭通市,巧家县,岩口光伏发电项目,光伏,70,新疆臻元新能源有限责任公司,国家电投
云南省,昭通市,大关县,太华光伏发电项目,光伏,140,中核汇能（陕西）能源有限公司,中核集团
云南省,昭通市,永善县,马楠坪厂光伏发电项目（二期）,光伏,200,永善盛黔新能源有限公司,中国电建
云南省,昭通市,大关县,高桥光伏发电项目,光伏,130,中核汇能（陕西）能源有限公司/安徽旭合新能源科技有限公司（联合体）,中核集团&旭合
云南省,昭通市,巧家县,沙坝光伏发电项目,光伏,100,华能（巢湖）智慧能源有限责任公司/中建五局电力能源有限公司（联合体）,华能&中建五局
云南省,昭通市,大关县,红旗光伏发电项目,光伏,55,中核汇能（陕西）能源有限公司/安徽旭合新能源科技有限公司（联合体）,中核集团&旭合
云南省,昭通市,昭阳区,田坝光伏发电项目,光伏,40,华能(巢湖)智慧能源有限责任公司,华能
云南省,昭通市,巧家县,半箐光伏发电项目,光伏,105,华能（巢湖）智慧能源有限责任公司,华能
云南省,昭通市,永善县,水竹光伏发电项目,光伏,70,永善盛黔新能源有限公司,中国电建
云南省,丽江市,永胜县,汇源光伏发电项目,光伏,260,华能（上海）清洁能源开发有限公司,华能
云南省,丽江市,永胜县,落雪坪光伏发电项目,光伏,80,华能（上海）清洁能源开发有限公司,华能
云南省,丽江市,华坪县,左岔光伏发电项目,光伏,20,大唐观音岩水电开发有限公司（牵头人）（含联合体：西安隆基新能源有限公司）,大唐&隆基
云南省,丽江市,玉龙县,鸣音沟光伏发电项目,光伏,95,华电云南发电有限公司,华电
云南省,丽江市,宁蒗县,新源沟光伏发电项目,光伏,50,华电云南发电有限公司,华电
云南省,丽江市,华坪县,德茂光伏发电项目,光伏,50,大唐观音岩水电开发有限公司（联合体成员：西安隆基清洁能源有限公司）,大唐&隆基
云南省,丽江市,华坪县,大松坪光伏发电项目,光伏,100,大唐观音岩水电开发有限公司（联合体成员：西安隆基清洁能源有限公司）,大唐&隆基
云南省,丽江市,华坪县,习好光伏发电项目,光伏,50,大唐观音岩水电开发有限公司（联合体成员：西安隆基清洁能源有限公司）,大唐&隆基
云南省,丽江市,华坪县,楠木村光伏发电项目,光伏,50,大唐观音岩水电开发有限公司（联合体成员：西安隆基清洁能源有限公司）,大唐&隆基
云南省,丽江市,华坪县,新文光伏发电项目,光伏,80,中核汇能云南能源开发有限公司（含联合体：西安隆基清洁能源有限公司）,中核集团&隆基
云南省,临沧市,沧源佤族自治县,贺南茶光互补光伏发电项目,光伏,20,国家能源集团云南电力有限公司,国家能源集团
云南省,临沧市,沧源佤族自治县,安也光伏发电项目,光伏,15,中电建新能源集团股份有限公司,中国电建
云南省,临沧市,云县,黑马塘光伏发电项目,光伏,170,中广核风电有限公司,中广核
云南省,临沧市,云县,响水光伏发电项目,光伏,45,天津华景节能环保科技有限公司,天津华景节能环保
云南省,临沧市,云县,温平光伏发电项目,光伏,65,天津华景节能环保科技有限公司,天津华景节能环保
云南省,临沧市,云县,丙令光伏发电项目,光伏,80,天津华景节能环保科技有限公司,天津华景节能环保
云南省,临沧市,永德县,勐板乡农光互补光伏发电项目,光伏,55,中电建（永德）新能源有限公司,中国电建
云南省,临沧市,沧源佤族自治县,赛弄农光互补光伏发电项目,光伏,120,华能澜沧江水电股份有限公司,华能
云南省,临沧市,镇康县,草山光伏发电项目(一期),光伏,350,华能澜沧江水电股份有限公司,华能
云南省,临沧市,镇康县,草山光伏发电项目(三期),光伏,240,华能澜沧江水电股份有限公司,华能
云南省,临沧市,镇康县,木场农光互补发电项目,光伏,180,华能澜沧江水电股份有限公司,华能
云南省,临沧市,云县,新民光伏发电项目,光伏,50,国家能源集团云南电力有限公司,国家能源集团
云南省,临沧市,凤庆县,路山光伏发电项目,光伏,90,华能澜沧江水电股份有限公司,华能
云南省,临沧市,云县,小丙弄光伏发电项目,光伏,150,中广核风电有限公司,中广核
云南省,临沧市,云县,王家山光伏发电项目,光伏,50,华能澜沧江水电股份有限公司,华能
云南省,临沧市,云县,李家村光伏发电项目,光伏,100,华能澜沧江水电股份有限公司,华能
