交易名称,企业名称,所属集团,电源类型,装机容量MW
曼外光伏,云绿能（勐海）新能源开发有限公司,,光伏,70
一颗桩光伏,龙源大理风力发电有限公司,,光伏,90
关旗营光伏,信云光能（曲靖）有限公司,,光伏,300
双柏石头光伏,双柏汇科新能源有限公司,,光伏,106
张半山光伏,易门滇能智慧能源有限公司,,光伏,18.9
底尼光伏,易门滇能智慧能源有限公司,,光伏,25
云坪光伏,云南滇能云坪光伏发电有限公司,,光伏,280
东坡光伏,芒市德天新能源有限公司,,光伏,92.8
曼景缅光伏,华能澜沧江(景洪)新能源有限公司,,光伏,250
双河村光伏,中电建（新平）新能源有限公司,,光伏,40
山后光伏,华宁云能投新能源开发有限公司,,光伏,40
青香树光伏,双柏徽阳新能源科技有限公司,,光伏,230
小营村光伏,中电建（祥云）新能源开发有限公司,,光伏,50
小黑蚂光伏,水电六局（丘北）新能源有限公司,,光伏,210
万德村光伏（新）,中电建（武定）新能源有限公司,,光伏,295
三岔沟光伏,永德汇科新能源有限公司,,光伏,130
英雄村光伏,京江（双柏）新能源有限公司,,光伏,295
孔新庄光伏,国能宾川新能源有限公司,,光伏,162.96
小黑箐光伏（小黑箐、坛罐窑）,三峡云投发电(大姚)有限责任公司,,光伏,110
四排山光伏,耿马鼎泰新能源有限公司,,光伏,100
小黑箐光伏（吴海、马游北）,三峡云投发电（姚安）有限公司,,光伏,112.7
亮塘光伏,华能澜沧江(景洪)新能源有限公司,,光伏,235
公种田光伏（二期）,中电建（新平）新能源有限公司,,光伏,50
项丘光伏（崩张孔、大舍一期）,芒市天辉新能源有限公司,,光伏,206
文雷光伏,华能澜沧江(普洱)新能源有限公司,,光伏,19.84
下脚马光伏,华能澜沧江(普洱)新能源有限公司,,光伏,19.84
允山光伏（含哈尼）,华能澜沧江(普洱)新能源有限公司,,光伏,130
王三冲光伏,楚雄兴楚新能源开发有限公司,,光伏,18.56
岩子脚光伏,中电建（新平）新能源有限公司,,光伏,240
周家寨光伏,耿马华电新能源开发有限公司,,光伏,200
勐乃光伏,华能澜沧江(普洱)新能源有限公司,,光伏,99.84
五谷村光伏,会泽华电道成清洁能源开发有限公司,,光伏,65.025
矣得乐光伏（琅井哨、喜鹊窝、老延家）,华电(禄丰)新能源开发有限公司,,光伏,195
木香坪光伏,三峡云能发电（宁蒗）有限公司,,光伏,56
分水岭光伏,三峡云能发电（宁蒗）有限公司,,光伏,70
金姑窝子光伏,华电宁蒗新能源开发有限公司,,光伏,60
南屏西光伏,普洱市思茅中电新能源有限公司,,光伏,60
吉姆阿以光伏,三峡云能发电（宁蒗）有限公司,,光伏,139
长坝口光伏,华电宁蒗新能源开发有限公司,,光伏,60
金古麦光伏,华电（玉龙）新能源开发有限公司,,光伏,170
洛科光伏（大荒田、大寨、新寨）,华能澜沧江(景洪)新能源有限公司,,光伏,85
干坝光伏,元江县乾润新能源有限公司,,光伏,50
蚂蚁堆光伏,临沧南水北调新能源有限责任公司,,光伏,70
茂兰光伏,云县乾润新能源有限公司,,光伏,200
陆家垭口光伏,华电南华新能源开发有限公司,,光伏,190
董干光伏,中广核新能源(麻栗坡)有限公司,,光伏,150
岩头山光伏,三峡云能发电（宁蒗）有限公司,,光伏,108
小村岩光伏,三峡云能发电(华坪)有限公司,,光伏,54
杨家湾光伏,长电云能发电（永仁）有限公司,,光伏,188
王官村光伏,云南能投曲靖发电有限公司,,光伏,50
上白麦光伏,华电（玉龙）新能源开发有限公司,,光伏,361.9
肖家山光伏,宾川龙源新能源有限公司,,光伏,150
金山光伏,华能新能源（新平）有限公司,,光伏,150
嘎胡光伏,国能普洱新能源有限公司,,光伏,50
马头地光伏,华能新能源（元谋）有限公司,,光伏,170
物茂光伏（帕地）,华能新能源（元谋）有限公司,,光伏,486.95
国兴光伏,华能新能源（元谋）有限公司,,光伏,148.05
虎溪村光伏（罗兴村）,华能新能源（元谋）有限公司,,光伏,130
曼帕梁子光伏（含二期）,大唐江城新能源有限公司,,光伏,50
那丙田光伏,普洱市思茅中电新能源有限公司,,光伏,160
多竹箐光伏（桔子树、金河1）,华能新能源（元谋）有限公司,,光伏,360
金河光伏,华能新能源（元谋）有限公司,,光伏,130
宜莲光伏（新）,永仁滇能零碳能源开发有限公司,,光伏,300
石羊光伏（杨家村、小梨园、大龙潭、宝莲）,大姚云能投绿色能源开发有限公司,,光伏,350
小竹园光伏（小河底）,大姚云能投绿色能源开发有限公司,,光伏,173
大沙坝光伏,华能澜沧江(保山昌宁)新能源有限公司,,光伏,150
博禾光伏,大理博禾新能源有限公司,,光伏,100
柳青光伏,禄丰高峰能源有限公司,,光伏,120
茶花箐光伏,禄劝万佳光伏发电有限公司,,光伏,193.28
龙华光伏电站（长坪子）,三峡云能发电（禄劝）有限公司,,光伏,60
龙华光伏（赤鹫、罗免）,三峡云能发电（富民）有限公司,,光伏,200
典文光伏,三峡云能发电（禄劝）有限公司,,光伏,50
乐秋光伏（母麦地）,华能澜沧江（南涧）新能源有限公司,,光伏,290
竹芭山光伏,华能澜沧江(临沧)新能源有限公司,,光伏,55
小火山光伏,三峡云能发电（永胜）有限公司,,光伏,27
平新光伏,三峡云能发电（元谋）有限公司,,光伏,450
干龙潭光伏（二期）,云县汇能发电有限责任公司,,光伏,50
李家庄光伏,三峡云投发电(大姚)有限责任公司,,光伏,100
乐秋光伏（红岩村）,华能澜沧江（巍山）新能源有限公司,,光伏,60
新房子光伏（新）,三峡巧家新能源有限公司,,光伏,100
黑岩洼光伏,保山市隆阳中能建投新能源有限公司,,光伏,100
罗武庄光伏,中电南华新能源有限责任公司,,光伏,240
唐丫口光伏（麒麟厂）,会泽华电道成清洁能源开发有限公司,,光伏,232
普福光伏,禄劝穗发新能源有限公司,,光伏,70
新羊窝头光伏（八棵树、绿荫塘）,三峡巧家新能源有限公司,,光伏,285
双羊洞光伏,大唐(丘北)新能源有限公司,,光伏,210
德党光伏,国能（永德）能源有限公司,,光伏,126
那朵光伏,广南广赫新能源有限公司,,光伏,100
菱角光伏二三期,华能清洁能源（曲靖沾益）有限公司,,光伏,250
小龙洞光伏,镇康核泰新能源有限公司,,光伏,360
坝密河光伏,临沧核顺新能源科技有限公司,,光伏,300
茂克光伏,国能七都建发文山清洁能源有限公司,,光伏,90
瓦折村光伏,国能南涧新能源有限公司,,光伏,30
倮练光伏,华能澜沧江(普洱)新能源有限公司,,光伏,45
麦子地光伏,华能新能源（禄丰）有限公司,,光伏,25.6
大营盘光伏,会泽华电道成清洁能源开发有限公司,,光伏,238.4
银厂沟光伏,华电宁蒗新能源开发有限公司,,光伏,70
葫芦地光伏,华宁云能投新能源开发有限公司,,光伏,20
小坝心光伏,大唐(丘北)新能源有限公司,,光伏,50
哨上光伏,国电投绿电能源（玉溪）有限公司,,光伏,150
富永光伏,华能澜沧江(普洱)新能源有限公司,,光伏,47
新田光伏,华能澜沧江(普洱)新能源有限公司,,光伏,120
独田箐光伏,南华云伊电投智慧能源有限公司,,光伏,90
老西山风电,三峡云投发电(大姚)有限责任公司,,光伏,37.5
苏子塘光伏,耿马孟润新能源科技有限责任公司,,光伏,90
阿里郎光伏（青云）,华能澜沧江（巍山）新能源有限公司,,光伏,50
磨刀石光伏,国电电力云南新能源开发有限公司,,光伏,30
金甲邑光伏,兰坪华电新能源开发有限公司,,光伏,70
干海资光伏,华电（双柏）新能源开发有限公司,,光伏,200
浪戛光伏,保山市隆阳中能建投新能源有限公司,,光伏,600
清水井光伏,国能七都建发文山清洁能源有限公司,,光伏,120
新发寨光伏,国能七都建发文山清洁能源有限公司,,光伏,57.92
桃花光伏,大唐临沧新能源有限公司,,光伏,90
华润芋头得光伏,华润新能源（石林）有限公司,,光伏,60
多雨村光伏,华能澜沧江（巍山）新能源有限公司,,光伏,230
大地梁子光伏,华润新能源（石林）有限公司,,光伏,60
瓦房箐光伏,三峡云能发电(华坪)有限公司,,光伏,36
期纳小湾光伏,三峡云能发电（永胜）有限公司,,光伏,96
营山光伏,三峡云能发电（永胜）有限公司,,光伏,45
绿茵塘光伏,云南金能新能源有限公司,,光伏,99.6
谢腊光伏,永仁风光新能源科技有限责任公司,,光伏,230
新葛根地光伏（黑蛇）,中电双柏新能源有限公司,,光伏,75
华润南羊光伏（张官营、龙洞）,华润新能源(宜良)有限公司,,光伏,65
角家村光伏,昆明东川区乾润新能源有限公司,,光伏,180
阿里郎光伏（新寨、鸡街、石竹坡）,华能澜沧江（漾濞）新能源有限公司,,光伏,275.76
大白能光伏,宏桥红河新能源有限公司,,光伏,120
大多科光伏,宏桥红河新能源有限公司,,光伏,192
栗树坪光伏（阿未席）,华能澜沧江（永平）新能源有限公司,,光伏,92
纳古光伏,华能澜沧江（德钦）新能源有限公司,,光伏,100
上登头光伏（团结、黑场）,华能澜沧江（云龙）新能源有限公司,,光伏,103
大村箐光伏（贵口村、羊街村、居居麻）,华能澜沧江（永平）新能源有限公司,,光伏,155
大清塘光伏,魏桥砚山新能源有限公司,,光伏,100
那依光伏,宏桥开远新能源有限公司,,光伏,84
长虹桥光伏,宏桥开远新能源有限公司,,光伏,73
拉古山光伏,兰坪亚太环宇水电发展有限公司,,光伏,110
水磨光伏,鲁甸县中新电新能源开发有限公司,,光伏,180
上干箐光伏,三峡云能发电(华坪)有限公司,,光伏,25
光华光伏（芮官山一期、二期、西山）,三峡新能源永胜县有限公司,,光伏,180
冲子光伏（老寨）,宏桥开远新能源有限公司,,光伏,288
营口光伏,昭通发展新能源投资有限公司,,光伏,140
向阳村光伏,中广核楚雄大姚风力发电有限公司,,光伏,40
晏家塘光伏,曲靖沾益京西新能源有限公司,,光伏,110
方城光伏,曲靖沾益京西新能源有限公司,,光伏,190
邑拉光伏电站,京能（元江）新能源有限公司,,光伏,75
太苏石光伏电站,楚雄兴楚新能源开发有限公司,,光伏,105
孔家庄光伏电站,楚雄兴楚新能源开发有限公司,,光伏,52
沙河塘光伏（乜六沟、沙河塘）,会泽华电道成清洁能源开发有限公司,,光伏,160.6
富永光伏（大平掌村）,华能华东（普洱）清洁能源有限公司,,光伏,40
杨柳寨光伏,宏桥弥勒新能源有限公司,,光伏,240
小勐统光伏,中电建（永德）新能源有限公司,,光伏,70
三折箐光伏,国能鹤庆新能源有限公司,,光伏,87.17
乌沙河光伏,华能澜沧江(勐腊)新能源有限公司,,光伏,150
石头寨光伏（大黑土）,宏桥弥勒新能源有限公司,,光伏,220
伍寨光伏,大唐永善风电有限责任公司,,光伏,80
五里屯光伏,华能澜沧江(普洱)新能源有限公司,,光伏,30
温水河光伏（松园村、禾丰、长坪）,华能澜沧江（鹤庆）新能源有限公司,,光伏,230
勐佑光伏,大唐临沧新能源有限公司,,光伏,190
镜湖光伏电站,峨山鑫能光伏发电有限公司,,光伏,129.92
石万光伏（石洞山）,宏桥弥勒新能源有限公司,,光伏,70
柿坪里光伏（弥勒山、柿坪里、后山村）,华能澜沧江(大理)新能源有限公司,,光伏,303.4
半坡箐光伏（半坡箐、半坡、鱼塘寨）,华能澜沧江(普洱)新能源有限公司,,光伏,95
丫口光伏,华能澜沧江(景洪)新能源有限公司,,光伏,35
大枫树光伏,华澜（洱源）新能源有限公司,,光伏,220
普伞坡光伏,大唐江城新能源有限公司,,光伏,60
大麦潭光伏,宏桥弥勒新能源有限公司,,光伏,90
麻栗树光伏,宏桥建水新能源有限公司,,光伏,60
黑暮光伏,宏桥建水新能源有限公司,,光伏,65
十字路光伏,南能永德能源开发有限公司,,光伏,63
小松棵光伏,华能新能源（禄丰）有限公司,,光伏,70
冷米光伏,三峡云能发电（永善）有限公司,,光伏,300
红石岩光伏,魏桥砚山新能源有限公司,,光伏,70
格龙兰光伏,中广核新能源（普洱）有限公司,,光伏,25
翠华光伏,禄劝东电太阳能发电有限公司,,光伏,200
星光光伏,宏桥弥勒新能源有限公司,,光伏,136
黄家林光伏,鲁甸广能新能源有限公司,,光伏,284
长岭岗光伏,宏桥开远新能源有限公司,,光伏,77
娜拥光伏,深能（禄劝）能源开发有限公司,,光伏,160
水坪村光伏,中广核新能源（鹤庆）有限公司,,光伏,100
鲁瓦光伏,华电（玉龙）新能源开发有限公司,,光伏,9450
华阳光伏（向阳）,中广核玉溪华宁风力发电有限公司,,光伏,50
碧溪光伏,中广核新能源（普洱）有限公司,,光伏,235
百物地光伏（百物地、幸福村）,华能澜沧江（巍山）新能源有限公司,,光伏,85
吉龙光伏（大嘎吉、么龙村、三七园）,中广核新能源（马关）有限公司,,光伏,400
五一光伏（五一村、上横么）,中广核新能源（普洱）有限公司,,光伏,40
博厚光伏,大姚云能投绿色能源开发有限公司,,光伏,45
鲁纳光伏（鲁纳、多姑、马家村）,华能澜沧江（寻甸）新能源有限公司,,光伏,210
前进光伏,国能七都建发文山清洁能源有限公司,,光伏,14.08
新莲光伏,国能盈江新能源有限公司,,光伏,320
三丘田光伏,华能华东（普洱）清洁能源有限公司,,光伏,247
积粮冲光伏,马龙云能投新能源开发有限公司,,光伏,50
坝檬光伏,华能澜沧江(勐海)新能源有限公司,,光伏,50
普力冲光伏,元江县乾润新能源有限公司,,光伏,180
木希格光伏,中广核玉溪元江风力发电有限公司,,光伏,60.48
大立石光伏,中电建（弥渡）电力有限公司,,光伏,80
新城村光伏,国能盈江新能源有限公司,,光伏,73
药灵山光伏,嵩明熙昆新能源有限公司,,光伏,139.84
罗杞打光伏,楚雄市聚熠新能源有限公司,,光伏,60
郑家村光伏,陆良云伊电投能源有限公司,,光伏,50
格红光伏,永仁云伊电投能源有限责任公司,,光伏,120
小塘子光伏,丘北云能投绿色能源开发有限公司,,光伏,200
项丘光伏电站（东山、芒牛坝）,云华芒市新能源有限公司,,光伏,97.7
安吉村光伏,永平瑞海新能源有限公司,,光伏,100
香竹林扶贫光伏,耿马环兴新能源有限公司,,光伏,20
220kV南箐光伏电站,华润新能源（嵩明）有限公司,,光伏,200
110kV华润马街光伏电站,华润新能源(宜良)有限公司,,光伏,60
110kV华润匡远光伏电站,华润新能源(宜良)有限公司,,光伏,100
35kV海西光伏电站,华润新能源（玉龙）有限公司,,光伏,20
35kV迷达扶贫光伏电站,丘北天朗光伏发电有限公司,,光伏,40
110kV华润北古城光伏电站,华润新能源(宜良)有限公司,,光伏,100
220kV富乐光伏电站,粤润罗平新能源有限公司,,光伏,150
35kV宝山光伏电站,华润新能源（玉龙）有限公司,,光伏,50
35kV适中光伏电站,姚安瑞海新能源开发有限公司,,光伏,25
220kV松桂东庄光伏电站,中电工程（鹤庆）新能源有限公司,,光伏,80
110kV华润大兴光伏电站,华润新能源（昆明西山）有限公司,,光伏,100
220kV月亮湾光伏电站,中煤绿能（鲁甸）新能源有限公司,,光伏,350
220kV散止光伏电站,元谋县晶科电力有限公司,,光伏,150
220kV南盆光伏电站,华润新能源（景洪）有限公司,,光伏,300
110kV文海雪花光伏电站,华润新能源（玉龙）有限公司,,光伏,50
220kV鱼和光伏电站,华能保山清洁能源有限公司,,光伏,220
220kV圈内光伏电站,临沧普综新能源有限公司,,光伏,132
220kV白玉光伏电站,保山市隆阳中能建投新能源有限公司,,光伏,340
220kV白草坪光伏电站,三峡云能发电（宁蒗）有限公司,,光伏,87
110kV柳树冲光伏电站,楚雄贝诚能源有限公司,,光伏,120
35kV姚家村光伏电站,祥云龙源新能源有限公司,,光伏,30
110kV江头村光伏电站,龙源大理风力发电有限公司,,光伏,85
110kV库南光伏电站,元谋县晶科电力有限公司,,光伏,125
110kV银匠村光伏电站,会泽华电道成清洁能源开发有限公司,,光伏,160
110kV布老光伏电站,普洱粤水电能源有限公司,,光伏,60
