交易名称,企业名称,所属集团,电源类型,装机容量MW
青岩山,兰坪太科光伏电力有限公司,中航科技,光伏,10
小暑甸,兰坪昌盛太阳能科技有限公司,其他,光伏,50
长冲,楚雄长翔光伏发电有限公司,其他,光伏,20
古木,文山太科光伏电力有限公司,中航科技,光伏,30
西街口,华能新能源石林光伏发电有限公司,华能集团,光伏,46.5
班果,元谋弘盈新能源发电有限公司,国家电力投资集团,光伏,50
芝麻,元谋惠光光伏发电有限公司,国家电力投资集团,光伏,50
朱坊,弥渡惠扬农业新能源科技有限公司,国家电力投资集团,光伏,50
麻舍所,陆良汇昆天合太阳能电力开发有限公司,国家电力投资集团,光伏,30
清岭光伏电站,楚雄清岭新能源科技有限公司,其他,光伏,1250
老鹰岩（含三期）,云南大唐国际宾川新能源有限责任公司,大唐集团,光伏,100
拖卓、白石崖,绿能（富民）太阳能科技有限公司,北京江河源,光伏,41
石咀,华润新能源光伏发电(弥渡)有限公司,华润,光伏,20
朝阳,中国水电顾问集团易门新能源有限公司,中国电建集团,光伏,28
天宝,玉溪市中太新能源科技有限公司,协鑫新能源,光伏,18
玉光,曲靖市沾益区安益宝农业科技有限公司,其他,光伏,10
小雷钵,鹤庆鑫华光伏发电有限公司,协鑫新能源,光伏,17
旧寨,玉溪江川区远盛太阳能科技有限公司,其他,光伏,20
水子坪,丽江隆基清洁能源有限公司,三峡集团,光伏,73.8
白石崖三期,绿清能(富民)太阳能科技有限公司,北京江河源,光伏,50
他格莫,峨山永鑫光伏发电有限公司,协鑫新能源,光伏,50
碧宗,师宗尚孚義和太阳能投资有限公司,其他,光伏,30
五里冲,建水云得太阳能科技有限公司,其他,光伏,21.6
坡头山,元谋瑞能光伏发电有限公司,其他,光伏,20
岩脚,宣威市晶科光伏发电有限公司,其他,光伏,30
妙峰,大姚瑞宏新能源开发有限公司,国家电力投资集团,光伏,20
团树,丘北太科光伏电力有限公司,中航科技,光伏,30
