original_image,turbine_lon,turbine_lat,province,city
102601_56702.jpg,101.8031005859375,23.566917419433594,云南,
102602_56703.jpg,101.80624643961589,23.56624412536621,云南,
102603_56703.jpg,101.80914306640625,23.564983367919922,云南,
102604_56703.jpg,101.81246185302734,23.56533432006836,云南,
102605_56693.jpg,101.81451416015625,23.589576721191406,云南,
102605_56704.jpg,101.81446075439453,23.56377601623535,云南,
102606_56696.jpg,101.8182601928711,23.58390235900879,云南,
102606_56704.jpg,101.81632232666016,23.562183380126953,云南,
102607_56705.jpg,101.81953430175781,23.560277938842773,云南,
102608_56694.jpg,101.82283782958984,23.587129592895508,云南,
102608_56696.jpg,101.82257843017578,23.583833694458008,云南,
102609_56696.jpg,101.82574208577473,23.583057403564453,云南,
102610_56695.jpg,101.82955932617188,23.584510803222656,云南,
102610_56697.jpg,101.82720184326172,23.580835342407227,云南,
102610_56698.jpg,101.82869720458984,23.578643798828125,云南,
102611_56696.jpg,101.83190155029297,23.58224868774414,云南,
102611_56698.jpg,101.8317642211914,23.578590393066406,云南,
102612_56698.jpg,101.83468627929688,23.578880310058594,云南,
102785_56516.jpg,102.30986022949219,24.034603118896484,云南,
102786_56516.jpg,102.31239318847656,24.034317016601562,云南,
102787_56517.jpg,102.31481170654297,24.033517837524414,云南,
102788_56518.jpg,102.31744384765625,24.031064987182617,云南,
102789_56518.jpg,102.31954193115234,24.030105590820312,云南,
102790_56519.jpg,102.32178497314453,24.028610229492188,云南,
102790_56519.jpg,102.32340749104817,24.027122497558594,云南,
102791_56520.jpg,102.32547760009766,24.025302251180012,云南,
102792_56520.jpg,102.3282241821289,24.024812698364258,云南,
102792_56521.jpg,102.32923889160156,24.023399353027344,云南,
102793_56521.jpg,102.33155059814453,24.022682189941406,云南,
102794_56522.jpg,102.33301544189453,24.021081924438477,云南,
102794_56523.jpg,102.33300018310547,24.017248153686523,云南,
102794_56524.jpg,102.33444213867188,24.015743255615234,云南,
102794_56525.jpg,102.33460998535156,24.0117244720459,云南,
102795_56525.jpg,102.33760070800781,24.011653900146484,云南,
102797_56525.jpg,102.3412857055664,24.012195587158203,云南,
102798_56526.jpg,102.34530639648438,24.01119613647461,云南,
102803_56534.jpg,102.35728454589844,23.98947525024414,云南,
102803_56535.jpg,102.35942840576172,23.988319396972656,云南,
102803_56537.jpg,102.35894775390625,23.982059478759766,云南,
102804_56538.jpg,102.36111450195312,23.98090934753418,云南,
102805_56538.jpg,102.36248779296875,23.979116439819336,云南,
102805_56542.jpg,102.36266326904297,23.969816207885742,云南,
102805_56544.jpg,102.36285400390625,23.96549415588379,云南,
102806_56545.jpg,102.36766815185547,23.962324142456055,云南,
102806_56545.jpg,102.36517333984375,23.9622802734375,云南,
102808_56546.jpg,102.37095642089844,23.960926055908203,云南,
102808_56547.jpg,102.37088775634766,23.957977294921875,云南,
102808_56547.jpg,102.37279510498047,23.95684305826823,云南,
102809_56548.jpg,102.37393951416016,23.95508575439453,云南,
102810_56548.jpg,102.37635040283203,23.954864501953125,云南,
102810_56549.jpg,102.37736511230469,23.952938079833984,云南,
102830_56730.jpg,102.432373046875,23.49794292449951,云南,
102832_56730.jpg,102.43791198730469,23.498504638671875,云南,
102832_56735.jpg,102.4385757446289,23.485687255859375,云南,
102834_56733.jpg,102.44377136230469,23.489543914794922,云南,
102835_56734.jpg,102.44498443603516,23.48757553100586,云南,
102835_56736.jpg,102.44695281982422,23.48250389099121,云南,
102836_56736.jpg,102.44892120361328,23.481149673461914,云南,
102838_56738.jpg,102.4532699584961,23.477558135986328,云南,
102838_56738.jpg,102.45550537109375,23.47652530670166,云南,
102840_56738.jpg,102.4596176147461,23.47709083557129,云南,
102841_56738.jpg,102.46229553222656,23.476051330566406,云南,
102842_56739.jpg,102.46446228027344,23.474480628967285,云南,
102842_56740.jpg,102.4662094116211,23.472835540771484,云南,
102843_56740.jpg,102.46817779541016,23.471199989318848,云南,
102843_56743.jpg,102.46824645996094,23.463319778442383,云南,
102844_56744.jpg,102.47065734863281,23.461978912353516,云南,
102845_56745.jpg,102.47309875488281,23.460617065429688,云南,
102846_56744.jpg,102.47728729248047,23.461637496948242,云南,
102846_56746.jpg,102.47747802734375,23.457032203674316,云南,
102847_56746.jpg,102.4802017211914,23.456562042236328,云南,
102848_56747.jpg,102.48148345947266,23.45426654815674,云南,
102849_56747.jpg,102.48505401611328,23.45456314086914,云南,
102850_56748.jpg,102.48657989501953,23.45269012451172,云南,
102852_56746.jpg,102.49236297607422,23.4559268951416,云南,
102852_56747.jpg,102.49332427978516,23.453856468200684,云南,
102853_56752.jpg,102.49494171142578,23.44272804260254,云南,
102854_56753.jpg,102.49938201904297,23.43857479095459,云南,
102855_56754.jpg,102.50096893310547,23.437284469604492,云南,
102855_56754.jpg,102.50215911865234,23.435626983642578,云南,
102859_56750.jpg,102.51121520996094,23.446386337280273,云南,
102859_56752.jpg,102.51277923583984,23.442974090576172,云南,
102861_56752.jpg,102.51726531982422,23.44295883178711,云南,
102862_56752.jpg,102.51914978027344,23.4415283203125,云南,
102863_56753.jpg,102.52204895019531,23.44013214111328,云南,
102864_56753.jpg,102.52452850341797,23.439136505126953,云南,
102865_56753.jpg,102.52925109863281,23.44041347503662,云南,
102865_56757.jpg,102.52743530273438,23.429244995117188,云南,
102865_56758.jpg,102.52903747558594,23.42694664001465,云南,
102865_56759.jpg,102.52938079833984,23.423980712890625,云南,
102866_56753.jpg,102.53142547607422,23.438753128051758,云南,
102866_56760.jpg,102.53157043457031,23.422154426574707,云南,
102867_56754.jpg,102.53346252441406,23.43691635131836,云南,
102867_56757.jpg,102.5352554321289,23.429418563842773,云南,
