原始图片,省,市,经度,纬度
103365_56167.jpg,云南省,曲靖市,103.90242,24.90664
103538_55856.jpg,云南省,曲靖市,104.37587,25.67992
103594_55861.jpg,云南省,曲靖市,104.531494,25.668167
103364_56152.jpg,云南省,曲靖市,103.89918,24.944376
103536_55754.jpg,云南省,曲靖市,104.37037,25.93199
103330_56130.jpg,云南省,曲靖市,103.806564,25.000547
103524_55807.jpg,云南省,曲靖市,104.337265,25.80089
103364_56061.jpg,云南省,曲靖市,103.89931,25.1707
103332_56156.jpg,云南省,曲靖市,103.8113,24.935204
103565_55901.jpg,云南省,曲靖市,104.4517,25.569126
103648_55904.jpg,云南省,曲靖市,104.67828,25.56134
103626_55631.jpg,云南省,曲靖市,104.61944,26.23572
103352_56077.jpg,云南省,曲靖市,103.86503,25.132336
103336_56121.jpg,云南省,曲靖市,103.822105,25.022793
103334_56091.jpg,云南省,曲靖市,103.81765,25.096966
103433_55402.jpg,云南省,曲靖市,104.08829,26.79953
103538_55755.jpg,云南省,曲靖市,104.37584,25.930168
103563_55898.jpg,云南省,曲靖市,104.44583,25.575518
103372_56055.jpg,云南省,曲靖市,103.92089,25.187382
103536_55838.jpg,云南省,曲靖市,104.37232,25.725424
103512_55827.jpg,云南省,曲靖市,104.3053,25.751104
103316_56161.jpg,云南省,曲靖市,103.766014,24.92196
103336_56136.jpg,云南省,曲靖市,103.82155,24.985554
103312_56167.jpg,云南省,曲靖市,103.756165,24.908503
103337_56096.jpg,云南省,曲靖市,103.82457,25.085312
103363_56059.jpg,云南省,曲靖市,103.89752,25.1754
103370_55954.jpg,云南省,曲靖市,103.9155,25.436127
103372_55935.jpg,云南省,曲靖市,103.92039,25.484142
103585_55870.jpg,云南省,曲靖市,104.506744,25.646208
103324_56195.jpg,云南省,曲靖市,103.79057,24.838537
103535_55750.jpg,云南省,曲靖市,104.368324,25.941326
103693_56125.jpg,云南省,曲靖市,104.80351,25.011627
103377_55886.jpg,云南省,曲靖市,103.93363,25.606731
103677_55570.jpg,云南省,曲靖市,104.75926,26.385044
103318_56163.jpg,云南省,曲靖市,103.77206,24.91782
103375_56052.jpg,云南省,曲靖市,103.92853,25.194248
103385_56034.jpg,云南省,曲靖市,103.95551,25.23758
103332_56151.jpg,云南省,曲靖市,103.81108,24.947746
103536_55763.jpg,云南省,曲靖市,104.37073,25.909851
103370_56064.jpg,云南省,曲靖市,103.91443,25.164429
103517_55840.jpg,云南省,曲靖市,104.31897,25.718454
103586_55870.jpg,云南省,曲靖市,104.509895,25.645943
103538_55858.jpg,云南省,曲靖市,104.37646,25.675188
103518_55813.jpg,云南省,曲靖市,104.322365,25.786806
103329_56165.jpg,云南省,曲靖市,103.803604,24.913277
103352_56078.jpg,云南省,曲靖市,103.86525,25.130203
103342_56088.jpg,云南省,曲靖市,103.83867,25.10468
103635_55903.jpg,云南省,曲靖市,104.64264,25.564026
103548_55816.jpg,云南省,曲靖市,104.40355,25.778881
103336_56134.jpg,云南省,曲靖市,103.82335,24.990044
103381_56041.jpg,云南省,曲靖市,103.94485,25.220102
103371_56052.jpg,云南省,曲靖市,103.91868,25.193935
103513_55838.jpg,云南省,曲靖市,104.30798,25.723364
103696_56128.jpg,云南省,曲靖市,104.80969,25.004808
103645_55904.jpg,云南省,曲靖市,104.67036,25.562063
103374_56056.jpg,云南省,曲靖市,103.92533,25.184004
103535_55753.jpg,云南省,曲靖市,104.369576,25.934473
103368_56059.jpg,云南省,曲靖市,103.910515,25.175877
103693_56126.jpg,云南省,曲靖市,104.8032,25.008778
103536_55755.jpg,云南省,曲靖市,104.37069,25.928806
103369_56057.jpg,云南省,曲靖市,103.911766,25.182339
103379_56051.jpg,云南省,曲靖市,103.93981,25.195827
103328_56146.jpg,云南省,曲靖市,103.80104,24.960257
103332_56140.jpg,云南省,曲靖市,103.81008,24.974226
103630_55631.jpg,云南省,曲靖市,104.63045,26.234537
103349_56094.jpg,云南省,曲靖市,103.85906,25.089546
103523_55800.jpg,云南省,曲靖市,104.336235,25.818348
103515_55840.jpg,云南省,曲靖市,104.3131,25.719664
103337_56099.jpg,云南省,曲靖市,103.82465,25.077974
103634_55697.jpg,云南省,曲靖市,104.63977,26.071747
103355_56071.jpg,云南省,曲靖市,103.87342,25.1473
103370_56164.jpg,云南省,曲靖市,103.91455,24.914114
103534_55845.jpg,云南省,曲靖市,104.36629,25.7066
103360_56070.jpg,云南省,曲靖市,103.88857,25.14925
103532_55850.jpg,云南省,曲靖市,104.361565,25.694256
103388_55923.jpg,云南省,曲靖市,103.96606,25.514769
103364_56060.jpg,云南省,曲靖市,103.89997,25.173174
103632_55654.jpg,云南省,曲靖市,104.635925,26.17813
103323_56172.jpg,云南省,曲靖市,103.785446,24.896006
103314_56164.jpg,云南省,曲靖市,103.76192,24.915207
103593_55863.jpg,云南省,曲靖市,104.527084,25.66335
103539_55831.jpg,云南省,曲靖市,104.379845,25.741472
103361_56173.jpg,云南省,曲靖市,103.89026,24.893421
103629_55663.jpg,云南省,曲靖市,104.6272,26.157146
103549_55886.jpg,云南省,曲靖市,104.40747,25.60565
103542_55873.jpg,云南省,曲靖市,104.38862,25.638643
103366_55942.jpg,云南省,曲靖市,103.90414,25.46728
103374_56058.jpg,云南省,曲靖市,103.92606,25.17853
103344_56102.jpg,云南省,曲靖市,103.8446,25.07043
103596_55859.jpg,云南省,曲靖市,104.537155,25.67331
103653_55902.jpg,云南省,曲靖市,104.69334,25.56579
103537_55833.jpg,云南省,曲靖市,104.374626,25.737144
103384_56140.jpg,云南省,曲靖市,103.95456,24.974539
103336_56085.jpg,云南省,曲靖市,103.82151,25.110966
103372_55905.jpg,云南省,曲靖市,103.92054,25.55812
103329_56164.jpg,云南省,曲靖市,103.80175,24.91543
103564_55899.jpg,云南省,曲靖市,104.447235,25.573778
103319_56160.jpg,云南省,曲靖市,103.77624,24.925453
103632_55640.jpg,云南省,曲靖市,104.634735,26.213894
103524_55806.jpg,云南省,曲靖市,104.33789,25.803555
103675_56155.jpg,云南省,曲靖市,104.75209,24.937304
103363_56066.jpg,云南省,曲靖市,103.89561,25.159641
103322_56167.jpg,云南省,曲靖市,103.782936,24.907347
103324_56196.jpg,云南省,曲靖市,103.788826,24.834368
103372_55927.jpg,云南省,曲靖市,103.9218,25.503716
103383_56048.jpg,云南省,曲靖市,103.95182,25.204102
103697_56128.jpg,云南省,曲靖市,104.8135,25.004627
103345_56097.jpg,云南省,曲靖市,103.84631,25.082064
103333_56069.jpg,云南省,曲靖市,103.81459,25.15115
103326_56155.jpg,云南省,曲靖市,103.79553,24.938452
103643_55696.jpg,云南省,曲靖市,104.66468,26.075891
103365_56058.jpg,云南省,曲靖市,103.90209,25.178703
103536_55758.jpg,云南省,曲靖市,104.37025,25.92317
103532_55863.jpg,云南省,曲靖市,104.36091,25.662733
103630_55665.jpg,云南省,曲靖市,104.62906,26.150747
103320_56167.jpg,云南省,曲靖市,103.777626,24.90719
103365_56074.jpg,云南省,曲靖市,103.90143,25.139025
103322_56161.jpg,云南省,曲靖市,103.78277,24.922472
103331_56136.jpg,云南省,曲靖市,103.809456,24.984568
103332_56157.jpg,云南省,曲靖市,103.8118,24.932014
103336_56094.jpg,云南省,曲靖市,103.82185,25.089712
103364_56154.jpg,云南省,曲靖市,103.89846,24.940926
103634_55905.jpg,云南省,曲靖市,104.64086,25.55957
103517_55816.jpg,云南省,曲靖市,104.318794,25.778294
103343_56094.jpg,云南省,曲靖市,103.84055,25.088852
103368_56066.jpg,云南省,曲靖市,103.90991,25.159365
103685_56150.jpg,云南省,曲靖市,104.781906,24.949537
103371_56051.jpg,云南省,曲靖市,103.917946,25.196087
103393_55918.jpg,云南省,曲靖市,103.980194,25.527073
103514_55822.jpg,云南省,曲靖市,104.31129,25.764503
103535_55759.jpg,云南省,曲靖市,104.36935,25.918634
103631_55646.jpg,云南省,曲靖市,104.631645,26.198992
103320_56161.jpg,云南省,曲靖市,103.77799,24.922707
103330_56162.jpg,云南省,曲靖市,103.805336,24.920681
103536_55852.jpg,云南省,曲靖市,104.37211,25.690084
103631_55906.jpg,云南省,曲靖市,104.631874,25.556673
103523_55809.jpg,云南省,曲靖市,104.335846,25.79629
103532_55852.jpg,云南省,曲靖市,104.36051,25.689259
103674_55567.jpg,云南省,曲靖市,104.75002,26.393522
103525_55802.jpg,云南省,曲靖市,104.34204,25.813063
103384_56035.jpg,云南省,曲靖市,103.95391,25.235237
103363_56067.jpg,云南省,曲靖市,103.89565,25.156847
103379_56054.jpg,云南省,曲靖市,103.93932,25.188734
103628_55691.jpg,云南省,曲靖市,104.62544,26.08723
103632_55655.jpg,云南省,曲靖市,104.63577,26.175426
103390_55916.jpg,云南省,曲靖市,103.97174,25.53089
103338_56117.jpg,云南省,曲靖市,103.827385,25.032871
103632_55664.jpg,云南省,曲靖市,104.63412,26.155209
103331_56138.jpg,云南省,曲靖市,103.80892,24.978878
103373_55948.jpg,云南省,曲靖市,103.92332,25.45236
103541_55827.jpg,云南省,曲靖市,104.38468,25.752474
103640_55701.jpg,云南省,曲靖市,104.656334,26.06237
103321_56158.jpg,云南省,曲靖市,103.78045,24.929213
103319_56153.jpg,云南省,曲靖市,103.77523,24.943634
103359_56061.jpg,云南省,曲靖市,103.88542,25.172403
103311_56172.jpg,云南省,曲靖市,103.75287,24.895273
103595_55858.jpg,云南省,曲靖市,104.53413,25.6739
103331_56132.jpg,云南省,曲靖市,103.80782,24.994303
103537_55854.jpg,云南省,曲靖市,104.37292,25.685108
103672_56158.jpg,云南省,曲靖市,104.74477,24.929655
103680_55571.jpg,云南省,曲靖市,104.76789,26.382866
103513_55825.jpg,云南省,曲靖市,104.30926,25.757378
103631_55690.jpg,云南省,曲靖市,104.63249,26.089733
103535_55841.jpg,云南省,曲靖市,104.36979,25.717932
103387_56041.jpg,云南省,曲靖市,103.962105,25.221142
103348_56098.jpg,云南省,曲靖市,103.855385,25.07836
103675_55567.jpg,云南省,曲靖市,104.75419,26.392603
103518_55825.jpg,云南省,曲靖市,104.322365,25.756483
103363_56063.jpg,云南省,曲靖市,103.89702,25.167048
103597_55857.jpg,云南省,曲靖市,104.53759,25.677382
103510_55835.jpg,云南省,曲靖市,104.299866,25.731386
103375_56144.jpg,云南省,曲靖市,103.93053,24.965101
103519_55824.jpg,云南省,曲靖市,104.32477,25.758461
103371_55910.jpg,云南省,曲靖市,103.91741,25.546492
103519_55823.jpg,云南省,曲靖市,104.32556,25.76093
103367_56068.jpg,云南省,曲靖市,103.90682,25.153088
103533_55864.jpg,云南省,曲靖市,104.36371,25.660471
103547_55811.jpg,云南省,曲靖市,104.40174,25.790134
103335_56140.jpg,云南省,曲靖市,103.820595,24.975159
103337_56097.jpg,云南省,曲靖市,103.82416,25.082504
103334_56085.jpg,云南省,曲靖市,103.81582,25.11271
103669_55565.jpg,云南省,曲靖市,104.736984,26.396778
103346_56100.jpg,云南省,曲靖市,103.84967,25.075436
103362_56072.jpg,云南省,曲靖市,103.893036,25.143843
103349_56096.jpg,云南省,曲靖市,103.857956,25.084068
103695_56130.jpg,云南省,曲靖市,104.807205,25.000685
103334_56143.jpg,云南省,曲靖市,103.81609,24.968313
103372_56145.jpg,云南省,曲靖市,103.92018,24.96234
103684_55568.jpg,云南省,曲靖市,104.77908,26.39102
103329_56131.jpg,云南省,曲靖市,103.80325,24.997244
103336_56088.jpg,云南省,曲靖市,103.822296,25.104181
103347_56150.jpg,云南省,曲靖市,103.851425,24.950953
103695_56126.jpg,云南省,曲靖市,104.80936,25.00904
103539_55763.jpg,云南省,曲靖市,104.38013,25.910145
103541_55832.jpg,云南省,曲靖市,104.384514,25.73984
103522_55821.jpg,云南省,曲靖市,104.331955,25.766878
103366_56149.jpg,云南省,曲靖市,103.90436,24.95157
