原始图片,省,市,经度,纬度,POI
103674_56157.jpg,云南省,曲靖市,104.74969,24.933605,上后河
103374_56049.jpg,云南省,曲靖市,103.92713,25.20068,毕家山
103538_55873.jpg,云南省,曲靖市,104.37606,25.638762,岩口
103375_56047.jpg,云南省,曲靖市,103.92818,25.205309,关门山
103625_55671.jpg,云南省,曲靖市,104.615944,26.137548,滑翔机起飞区
103314_56162.jpg,云南省,曲靖市,103.76232,24.91929,大山
103628_55662.jpg,云南省,曲靖市,104.62392,26.159027,公厕
103367_56150.jpg,云南省,曲靖市,103.90794,24.95065,滴水塘小学
103337_56098.jpg,云南省,曲靖市,103.82518,25.080452,次古塘
103655_55906.jpg,云南省,曲靖市,104.69944,25.555815,李子坪
103382_56039.jpg,云南省,曲靖市,103.94878,25.227045,鹰洞大山
103532_55756.jpg,云南省,曲靖市,104.36041,25.927954,郎杂
103312_56207.jpg,云南省,曲靖市,103.75675,24.80785,大巷
103312_56170.jpg,云南省,曲靖市,103.75696,24.899118,新眉毛山
103346_56101.jpg,云南省,曲靖市,103.84972,25.072784,黑箐沟
103687_55575.jpg,云南省,曲靖市,104.786896,26.372686,双井村
103681_55571.jpg,云南省,曲靖市,104.77012,26.382406,银厂坡
103317_56168.jpg,云南省,曲靖市,103.77065,24.905031,老眉毛山
103365_56167.jpg,云南省,曲靖市,103.90242,24.90664,上束岗
103538_55856.jpg,云南省,曲靖市,104.37587,25.67992,X285
103594_55861.jpg,云南省,曲靖市,104.531494,25.668167,翰林街道小关小学
103364_56152.jpg,云南省,曲靖市,103.89918,24.944376,法郎村－白马田公路
103536_55754.jpg,云南省,曲靖市,104.37037,25.93199,光梁子
103330_56130.jpg,云南省,曲靖市,103.806564,25.000547,直沟
103524_55807.jpg,云南省,曲靖市,104.337265,25.80089,烧灰冲
103364_56061.jpg,云南省,曲靖市,103.89931,25.1707,癞子山
103332_56156.jpg,云南省,曲靖市,103.8113,24.935204,双坝塘
103565_55901.jpg,云南省,曲靖市,104.4517,25.569126,关睢
103648_55904.jpg,云南省,曲靖市,104.67828,25.56134,W544520222
103626_55631.jpg,云南省,曲靖市,104.61944,26.23572,S212
103352_56077.jpg,云南省,曲靖市,103.86503,25.132336,小石角山
103336_56121.jpg,云南省,曲靖市,103.822105,25.022793,大山
103334_56091.jpg,云南省,曲靖市,103.81765,25.096966,白塔水库
103433_55402.jpg,云南省,曲靖市,104.08829,26.79953,小背岩
103538_55755.jpg,云南省,曲靖市,104.37584,25.930168,光梁子
103563_55898.jpg,云南省,曲靖市,104.44583,25.575518,关睢村
103372_56055.jpg,云南省,曲靖市,103.92089,25.187382,火烧青垴子
103536_55838.jpg,云南省,曲靖市,104.37232,25.725424,X254
103512_55827.jpg,云南省,曲靖市,104.3053,25.751104,红岩丈
103316_56161.jpg,云南省,曲靖市,103.766014,24.92196,大山
103336_56136.jpg,云南省,曲靖市,103.82155,24.985554,大水塘－赖台子公路
103312_56167.jpg,云南省,曲靖市,103.756165,24.908503,新眉毛山
103337_56096.jpg,云南省,曲靖市,103.82457,25.085312,大山头
103363_56059.jpg,云南省,曲靖市,103.89752,25.1754,新坝塘
103370_55954.jpg,云南省,曲靖市,103.9155,25.436127,大脑子
103372_55935.jpg,云南省,曲靖市,103.92039,25.484142,煤炭山
103585_55870.jpg,云南省,曲靖市,104.506744,25.646208,红岩河
103324_56195.jpg,云南省,曲靖市,103.79057,24.838537,老龙块小学
103535_55750.jpg,云南省,曲靖市,104.368324,25.941326,郎杂
103693_56125.jpg,云南省,曲靖市,104.80351,25.011627,白水塘
103377_55886.jpg,云南省,曲靖市,103.93363,25.606731,大营盘
103677_55570.jpg,云南省,曲靖市,104.75926,26.385044,独木箐
103318_56163.jpg,云南省,曲靖市,103.77206,24.91782,大山
103375_56052.jpg,云南省,曲靖市,103.92853,25.194248,鸟八彝大山
103385_56034.jpg,云南省,曲靖市,103.95551,25.23758,系腰山
103332_56151.jpg,云南省,曲靖市,103.81108,24.947746,梨檐山
103536_55763.jpg,云南省,曲靖市,104.37073,25.909851,光梁子水库
103370_56064.jpg,云南省,曲靖市,103.91443,25.164429,癞子山
103517_55840.jpg,云南省,曲靖市,104.31897,25.718454,当风地
103586_55870.jpg,云南省,曲靖市,104.509895,25.645943,公厕
103538_55858.jpg,云南省,曲靖市,104.37646,25.675188,X285
103518_55813.jpg,云南省,曲靖市,104.322365,25.786806,梨树湾
103329_56165.jpg,云南省,曲靖市,103.803604,24.913277,钱家房子
103352_56078.jpg,云南省,曲靖市,103.86525,25.130203,小石角山
103342_56088.jpg,云南省,曲靖市,103.83867,25.10468,猴子山
103635_55903.jpg,云南省,曲靖市,104.64264,25.564026,赖子洞
103548_55816.jpg,云南省,曲靖市,104.40355,25.778881,羊洞
103336_56134.jpg,云南省,曲靖市,103.82335,24.990044,郑家弯子
103381_56041.jpg,云南省,曲靖市,103.94485,25.220102,关门山
103371_56052.jpg,云南省,曲靖市,103.91868,25.193935,火烧青垴子
103513_55838.jpg,云南省,曲靖市,104.30798,25.723364,仙鹅抱蛋
103696_56128.jpg,云南省,曲靖市,104.80969,25.004808,罗家塆子
103645_55904.jpg,云南省,曲靖市,104.67036,25.562063,W544520222
103374_56056.jpg,云南省,曲靖市,103.92533,25.184004,火烧青垴子
103535_55753.jpg,云南省,曲靖市,104.369576,25.934473,郎杂
103368_56059.jpg,云南省,曲靖市,103.910515,25.175877,三角山
103693_56126.jpg,云南省,曲靖市,104.8032,25.008778,罗家塆子
103536_55755.jpg,云南省,曲靖市,104.37069,25.928806,光梁子
103369_56057.jpg,云南省,曲靖市,103.911766,25.182339,三角山
103379_56051.jpg,云南省,曲靖市,103.93981,25.195827,鸟八彝大山
103328_56146.jpg,云南省,曲靖市,103.80104,24.960257,大水塘学校
103332_56140.jpg,云南省,曲靖市,103.81008,24.974226,垃出坡
103630_55631.jpg,云南省,曲靖市,104.63045,26.234537,盘州滑雪场
103349_56094.jpg,云南省,曲靖市,103.85906,25.089546,沙锅新村
103523_55800.jpg,云南省,曲靖市,104.336235,25.818348,浑水塘
103515_55840.jpg,云南省,曲靖市,104.3131,25.719664,当风地
103337_56099.jpg,云南省,曲靖市,103.82465,25.077974,次古塘
103634_55697.jpg,云南省,曲靖市,104.63977,26.071747,S77
103355_56071.jpg,云南省,曲靖市,103.87342,25.1473,方家坟
103370_56164.jpg,云南省,曲靖市,103.91455,24.914114,帽子山
103534_55845.jpg,云南省,曲靖市,104.36629,25.7066,大箐
103360_56070.jpg,云南省,曲靖市,103.88857,25.14925,龙家水塘坝
103532_55850.jpg,云南省,曲靖市,104.361565,25.694256,大箐
103388_55923.jpg,云南省,曲靖市,103.96606,25.514769,八坡石
103364_56060.jpg,云南省,曲靖市,103.89997,25.173174,新坝塘
103632_55654.jpg,云南省,曲靖市,104.635925,26.17813,公厕
103323_56172.jpg,云南省,曲靖市,103.785446,24.896006,老眉毛山
103314_56164.jpg,云南省,曲靖市,103.76192,24.915207,大山
103593_55863.jpg,云南省,曲靖市,104.527084,25.66335,W1C0520222
103539_55831.jpg,云南省,曲靖市,104.379845,25.741472,老黑山
103361_56173.jpg,云南省,曲靖市,103.89026,24.893421,上浅甲
103629_55663.jpg,云南省,曲靖市,104.6272,26.157146,公厕
103549_55886.jpg,云南省,曲靖市,104.40747,25.60565,上沙依
103542_55873.jpg,云南省,曲靖市,104.38862,25.638643,燕子岩
103366_55942.jpg,云南省,曲靖市,103.90414,25.46728,蜂窝山
